400
pista1.jpg
2
125
<caminho>
1	145
76	158
111	147
125	127
114	103
78	78
88	32
98	21
120	17
132	21
171	60
207	120
212	160
201	190
184	203
129	213
105	212
88	220
84	237
95	255
115	268
207	277
303	271
358	261
392	216
394	188
377	177
358	181
310	223
283	238
252	231
236	213
256	161
257	106
229	42
251	27
296	22
357	27
440	51
449	71
442	90
383	71
332	64
307	68
298	84
305	114
325	137
371	139
409	129
436	177
445	226
441	265
421	311
284	323
169	321
101	312
58	296
42	319
38	343
40	379
49	420
64	435
85	431
95	415
83	389
94	376
144	356
157	364
169	396
161	422
170	436
204	439
226	426
233	404
236	377
245	367
261	371
273	393
273	424
282	435
326	422
338	379
353	367
375	368
379	370
389	382
396	407
397	441
391	476
</caminho>
<caminho>
1	151
80	152
123	141
127	117
116	95
88	75
77	47
87	22
100	9
112	5
129	9
152	28
188	69
210	104
219	132
216	170
186	191
148	204
114	208
80	216
80	249
96	268
127	277
193	285
285	282
346	270
387	236
402	204
395	175
366	171
338	187
312	212
280	231
239	228
230	212
243	181
265	127
259	84
242	57
239	35
277	20
322	19
373	25
423	44
451	61
455	84
448	100
431	99
410	87
375	63
349	60
320	55
299	66
288	81
295	109
310	129
351	135
387	129
409	120
435	154
450	207
450	248
435	293
403	316
351	321
277	330
206	330
156	312
74	293
48	291
38	303
30	359
45	403
75	438
101	433
109	421
82	375
90	364
128	353
152	352
172	375
177	397
169	420
182	440
215	441
239	413
243	376
257	362
275	379
283	421
296	435
332	425
334	370
356	359
375	360
386	368
396	384
404	416
403	457
396	479
</caminho>
<bloons>
0	0	verde
5	0	verde
7	1	verde
10	0	verde
15	0	verde
17	1	verde
20	0	azul
22	1	azul
25	0	azul
30	0	azul
35	0	azul
37	1	azul
40	0	azul
45	0	azul
50	0	verde
52	1	verde
55	0	verde
57	1	verde
60	0	verde
65	0	verde
70	0	verde
75	0	verde
81	0	vermelho
82	0	rosa
83	1	vermelho
84	0	vermelho
85	0	vermelho
86	0	vermelho
87	1	vermelho
88	0	vermelho
89	0	vermelho
90	0	vermelho
91	1	vermelho
92	0	vermelho
94	1	vermelho
100	0	azul
105	0	azul
109	1	verde
110	0	azul
115	0	azul
120	0	azul
125	0	azul
130	0	verde
137	0	rosa
140	0	azul
150	0	azul
157	1	verde
160	0	azul
165	1	verde
166	1	verde
167	1	verde
169	1	verde
170	0	azul
170	1	verde
171	1	verde
172	1	verde
173	1	verde
180	0	verde
192	0	rosa
200	0	verde
207	1	azul
210	0	verde
217	1	azul
220	0	verde
230	0	vermelho
231	0	vermelho
232	0	vermelho
233	0	vermelho
234	0	vermelho
235	1	azul
236	0	vermelho
237	0	vermelho
238	1	azul
239	0	vermelho
240	0	azul
241	1	azul
242	0	azul
243	0	azul
244	1	azul
245	0	azul
247	1	rosa
251	0	vermelho
252	1	verde
253	0	vermelho
254	1	vermelho
255	0	verde
256	1	vermelho
257	0	azul
258	1	azul
259	0	azul
260	1	azul
261	0	azul
262	1	verde
263	0	azul
264	1	azul
265	0	verde
266	1	rosa
266	1	azul
267	0	verde
269	0	verde
270	0	azul
280	0	verde
290	0	azul
291	0	azul
292	0	azul
293	1	azul
294	0	azul
295	1	azul
296	0	azul
297	1	azul
298	0	azul
299	1	azul
300	0	verde
301	1	azul
302	0	azul
303	1	azul
310	0	azul
320	0	azul
330	0	azul
331	0	verde
340	0	azul
350	0	azul
351	0	azul
</bloons>
